排名,代码,名称,所属行业,主题标签,流通市值(亿),参考总市值(亿),市值状态,市值数据源,市值快照日期,筹码结构,启动评分,启动判断,极度推荐分,极度推荐理由,涨停基因分,涨停基因状态,涨停基因说明,动能协同,推荐度,基础策略分,市场评分,市场状态,相对强度,相对大盘1日%,相对大盘5日%,相对大盘20日%,严格匹配度,严格评级,关注理由,最新价,今日涨跌%,今日状态,收盘交易状态,激进买点,保守买点,激进止损,保守止损,激进止盈,保守止盈,激进周期,保守周期,计划依据,T+1开盘应对,MA5,MA10,MA20,MA60,20日平台高,20日低点,ATR14,DIF,DEA,MACD柱,MACD零轴,RSI14,RSI状态,K值,D值,J值,KDJ状态,近一年涨停次数,量比,5/20量比,20日涨幅%,近10日最大涨幅%,成交额(万),极度推荐,极度推荐排名
67,600167,联美控股,暂无同日行业数据,未分类,,,未取得市值,,,64/100｜筹码结构较好,72.8,近期量能收缩；处于平台下方可观察区；死叉距开始改善；RSI回升,59.9,死叉修复｜中；偏弱涨停基因；历史涨停后3日≥3%命中71%；温和上涨；前期缩量结构较好；当前量能温和放大,36.9,偏弱涨停基因,250日涨停7次；距最近涨停193日；历史涨停后3日≥3%命中71%；历史涨停后3日≥5%命中57%,RSI 中性｜KDJ 空头｜MACD 中性,44.3,37.2,61.9,震荡偏强，精选个股,50.1,1.25,-2.19,1.86,70.4,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约2.0%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.81，量能处于收缩状态，但当前量比约1.22，启动力度还需要继续观察。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.0%。MACD仍处死叉，今天快慢线之间的MACD距开始缩小，属于死叉开始修复，位于跨零轴区域。,5.71,1.96,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,5.75~5.75（承接/回踩）,5.97~6.00（突破确认）,5.62,5.86,5.95 / 6.08,6.15 / 6.27,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.81，说明前期有较明显的量能收缩。今日量比约1.22，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,5.68,5.78,5.74,5.7,5.95,5.48,0.15,-0.007,0.008,-0.029,跨零轴,48.29,中性,38.44,47.37,20.6,空头,7,1.22,0.81,1.96,1.96,4639.69,,
68,605055,迎丰股份,暂无同日行业数据,未分类,,,未取得市值,,,51/100｜筹码结构中性,64.1,死叉距连续两天改善；RSI回升,71.6,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中100%；温和上涨；当前量能温和放大,53.3,一般涨停基因,250日涨停7次；近60日1次；距最近涨停56日；历史涨停后3日≥3%命中100%；历史涨停后3日≥5%命中43%,RSI 中性｜KDJ 多头｜MACD 趋强,43.5,34.6,61.9,震荡偏强，精选个股,49.2,1.22,0.99,-7.26,65.9,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-7.2%，更像整理后的早期抬升，方向性仍需后续确认。近期量能没有明显收缩，5/20成交量比约0.96，因此“底部缩量”的特征并不突出。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,8.95,1.94,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,9.29~9.29（承接/回踩）,10.44~10.52（突破确认）,9.12,10.16,10.41 / 10.41,10.89 / 11.19,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.96，量能收缩特征一般。今日量比约1.04，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.092。,明显高开：不追高，优先等待回踩参考买入区并确认承接,8.74,9.04,9.42,9.42,10.41,8.36,0.372,-0.212,-0.119,-0.185,下方,42.93,中性,26.09,18.89,40.49,多头,7,1.04,0.96,-7.16,1.94,3583.11,,
69,002197,证通电子,暂无同日行业数据,电子,,,未取得市值,,,57/100｜筹码结构中性,81.8,近期缩量充分；死叉距开始改善；RSI回升；推荐日未明显追涨,68.1,死叉修复｜中；一般涨停基因；历史涨停后3日≥3%命中50%；温和上涨；前期缩量结构较好；当前量能温和放大,53.4,一般涨停基因,250日涨停6次；近60日4次；距最近涨停35日；历史涨停后3日≥3%命中50%；历史涨停后3日≥5%命中50%,RSI 中性｜KDJ 空头｜MACD 中性,43.2,33.2,61.9,震荡偏强，精选个股,48.0,0.2,-2.17,-0.26,74.7,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-0.2%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.79，前期有明显缩量，而当前量比约1.27，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约0.9%。MACD仍处死叉，今天快慢线之间的MACD距开始缩小，属于死叉开始修复，位于下方区域。,6.57,0.92,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,6.75~6.75（承接/回踩）,7.36~7.40（突破确认）,6.66,7.21,7.34 / 7.34,7.61 / 7.77,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.79，说明前期有较明显的量能收缩。今日量比约1.27，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,6.59,6.74,6.82,6.57,7.34,6.33,0.204,-0.06,-0.001,-0.117,下方,42.41,中性,16.82,22.07,6.33,空头,6,1.27,0.79,-0.15,0.92,10900.96,,
70,603559,中通国脉,暂无同日行业数据,未分类,,,未取得市值,,,64/100｜筹码结构较好,58.8,近期缩量充分；死叉距开始改善；RSI回升；推荐日上涨偏快,64.6,死叉修复｜中；中强涨停基因；历史涨停后3日≥3%命中86%；偏强上涨｜谨防追高；当前量能温和放大,70.4,中强涨停基因,250日涨停7次；近60日7次；距最近涨停14日；历史涨停后3日≥3%命中86%；历史涨停后3日≥5%命中86%,RSI 中性｜KDJ 空头｜MACD 中性,42.7,42.7,61.9,震荡偏强，精选个股,54.4,2.15,0.31,3.44,60.0,普通候选,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约3.5%，近5日约0.1%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.54，前期有明显缩量，而当前量比约1.09，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.9%。MACD仍处死叉，今天快慢线之间的MACD距开始缩小，属于死叉开始修复，位于上方区域。,9.34,2.86,偏强上涨｜谨防追高,结构偏弱，不建议因为低价或历史涨停次数单独介入,9.60~9.60（承接/回踩）,11.61~11.72（突破确认）,9.32,11.20,11.58 / 11.58,12.27 / 12.71,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.54，说明前期有较明显的量能收缩。今日量比约1.09，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,9.11,9.65,9.76,8.94,11.58,8.59,0.546,0.022,0.2,-0.356,上方,47.86,中性,17.39,21.07,10.01,空头,7,1.09,0.54,3.55,2.86,13101.52,,
71,002950,奥美医疗,暂无同日行业数据,未分类,,,未取得市值,,,56/100｜筹码结构中性,69.7,近期量能收缩；死叉距连续两天改善；推荐日未明显追涨,67.5,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中83%；低位震荡/轻微回落；前期缩量结构较好；当前量能温和放大,45.3,一般涨停基因,250日涨停6次；距最近涨停65日；历史涨停后3日≥3%命中83%；历史涨停后3日≥5%命中67%,RSI 中性｜KDJ 空头｜MACD 中性,42.2,36.2,61.9,震荡偏强，精选个股,43.3,-0.72,-1.54,-9.56,70.4,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-9.5%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.88，量能处于收缩状态，但当前量比约1.52，启动力度还需要继续观察。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.1%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,8.43,0.0,低位震荡/轻微回落,结构偏弱，不建议因为低价或历史涨停次数单独介入,8.83~8.83（承接/回踩）,9.58~9.62（突破确认）,8.74,9.42,9.55 / 9.55,9.83 / 9.99,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.88，量能收缩特征一般。今日量比约1.52，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,8.47,8.66,8.9,9.08,9.55,8.33,0.208,-0.219,-0.161,-0.118,下方,34.81,中性,12.42,15.2,6.86,空头,6,1.52,0.88,-9.45,3.06,5729.11,,
72,000952,广济药业,暂无同日行业数据,未分类,,,未取得市值,,,59/100｜筹码结构中性,82.7,近期量能收缩；处于平台下方可观察区；死叉距连续两天改善；RSI回升；推荐日未明显追涨,69.1,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中88%；低位震荡/轻微回落；前期缩量结构较好；当前量能温和放大,47.9,一般涨停基因,250日涨停8次；距最近涨停100日；历史涨停后3日≥3%命中88%；历史涨停后3日≥5%命中88%,RSI 中性｜KDJ 空头｜MACD 中性,40.7,29.4,61.9,震荡偏强，精选个股,49.3,-0.56,-0.11,0.21,85.6,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约0.3%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.86，量能处于收缩状态，但当前量比约1.05，启动力度还需要继续观察。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约4.0%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。,6.4,0.16,低位震荡/轻微回落,结构偏弱，不建议因为低价或历史涨停次数单独介入,6.46~6.46（承接/回踩）,6.92~6.97（突破确认）,6.33,6.75,6.90 / 6.97,7.19 / 7.37,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.86，量能收缩特征一般。今日量比约1.05，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,6.35,6.49,6.51,6.02,6.9,6.11,0.226,0.046,0.099,-0.107,上方,50.52,中性,31.25,33.53,26.71,空头,8,1.05,0.86,0.31,4.04,3452.4,,
73,600851,海欣股份,暂无同日行业数据,未分类,,,未取得市值,,,58/100｜筹码结构中性,71.8,近期缩量充分；死叉距开始改善；推荐日未明显追涨,68.3,死叉修复｜中；一般涨停基因；历史涨停后3日≥3%命中100%；低位震荡/轻微回落；前期缩量结构较好；当前量能温和放大,55.7,一般涨停基因,250日涨停6次；距最近涨停63日；历史涨停后3日≥3%命中100%；历史涨停后3日≥5%命中67%,RSI 中性｜KDJ 空头｜MACD 中性,39.9,33.3,61.9,震荡偏强，精选个股,45.8,-0.72,-0.75,-5.7,69.9,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-5.6%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.70，前期有明显缩量，而当前量比约1.04，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.1%。MACD仍处死叉，今天快慢线之间的MACD距开始缩小，属于死叉开始修复，位于跨零轴区域。,8.27,0.0,低位震荡/轻微回落,结构偏弱，不建议因为低价或历史涨停次数单独介入,8.40~8.40（承接/回踩）,9.16~9.20（突破确认）,8.31,8.99,9.13 / 9.13,9.42 / 9.60,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.70，说明前期有较明显的量能收缩。今日量比约1.04，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,8.3,8.39,8.48,8.42,9.13,8.13,0.22,-0.042,0.003,-0.09,跨零轴,44.35,中性,29.57,31.38,25.95,空头,6,1.04,0.7,-5.59,1.06,5370.6,,
74,002044,美年健康,暂无同日行业数据,未分类,,,未取得市值,,,49/100｜筹码结构中性,53.8,死叉距开始改善；RSI回升,60.0,死叉修复｜中；中强涨停基因；历史涨停后3日≥3%命中88%；温和上涨；当前量能温和放大,59.2,中强涨停基因,250日涨停8次；近60日1次；距最近涨停29日；历史涨停后3日≥3%命中88%；历史涨停后3日≥5%命中88%,RSI 中性｜KDJ 空头｜MACD 中性,37.3,34.4,61.9,震荡偏强，精选个股,47.0,1.36,-2.01,-5.86,58.1,普通候选,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-5.8%，更像整理后的早期抬升，方向性仍需后续确认。近期量能没有明显收缩，5/20成交量比约1.15，因此“底部缩量”的特征并不突出。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.1%。MACD仍处死叉，今天快慢线之间的MACD距开始缩小，属于死叉开始修复，位于下方区域。,4.42,2.08,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,4.55~4.55（承接/回踩）,4.79~4.82（突破确认）,4.50,4.70,4.78 / 4.82,4.94 / 5.04,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约1.15，量能收缩特征一般。今日量比约1.39，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,4.4,4.52,4.59,4.68,4.78,4.3,0.121,-0.1,-0.072,-0.057,下方,40.71,中性,19.53,24.77,9.06,空头,8,1.39,1.15,-5.76,2.08,39124.89,,
75,002677,浙江美大,暂无同日行业数据,未分类,,,未取得市值,,,48/100｜筹码结构中性,44.7,死叉距连续两天改善；推荐日未明显追涨,57.0,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中62%；低位震荡/轻微回落；当前量能温和放大,53.7,一般涨停基因,250日涨停8次；近60日4次；距最近涨停45日；历史涨停后3日≥3%命中62%；历史涨停后3日≥5%命中38%,RSI 中性｜KDJ 空头｜MACD 中性,36.8,35.5,61.9,震荡偏强，精选个股,40.9,-2.0,-2.33,-9.67,68.1,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-9.6%，更像整理后的早期抬升，方向性仍需后续确认。近期量能没有明显收缩，5/20成交量比约1.19，因此“底部缩量”的特征并不突出。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,6.15,-1.28,低位震荡/轻微回落,结构偏弱，不建议因为低价或历史涨停次数单独介入,6.50~6.50（承接/回踩）,7.10~7.14（突破确认）,6.41,6.96,7.08 / 7.08,7.33 / 7.48,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约1.19，量能收缩特征一般。今日量比约1.56，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,6.25,6.36,6.56,6.63,7.08,6.11,0.189,-0.155,-0.105,-0.1,下方,34.56,中性,11.19,11.73,10.11,空头,8,1.56,1.19,-9.56,1.9,5238.79,,
76,600219,南山铝业,暂无同日行业数据,未分类,,,未取得市值,,,59/100｜筹码结构中性,62.8,近期量能收缩；处于平台下方可观察区；死叉距开始改善；RSI回升；推荐日上涨偏快,55.4,死叉修复｜中；偏弱涨停基因；历史涨停后3日≥3%命中60%；偏强上涨｜谨防追高；前期缩量结构较好；当前量能温和放大,36.2,偏弱涨停基因,250日涨停5次；近60日1次；距最近涨停41日；历史涨停后3日≥3%命中60%；历史涨停后3日≥5%命中40%,RSI 中性｜KDJ 空头｜MACD 中性,27.8,28.8,61.9,震荡偏强，精选个股,51.8,1.86,-0.63,0.53,60.3,普通候选,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约0.6%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.84，量能处于收缩状态，但当前量比约1.07，启动力度还需要继续观察。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.6%。MACD仍处死叉，今天快慢线之间的MACD距开始缩小，属于死叉开始修复，位于上方区域。,4.78,2.58,偏强上涨｜谨防追高,结构偏弱，不建议因为低价或历史涨停次数单独介入,4.82~4.82（承接/回踩）,5.10~5.12（突破确认）,4.75,5.00,5.08 / 5.10,5.24 / 5.34,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.84，说明前期有较明显的量能收缩。今日量比约1.07，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,4.74,4.84,4.85,4.59,5.08,4.62,0.124,0.003,0.038,-0.07,上方,48.75,中性,26.46,33.43,12.54,空头,5,1.07,0.84,0.63,2.58,65744.33,,
